	branch_length
0	0.1483794586
1	0.2385534884
2	0.05874392872
3	0.005382083861
4	0.005388155799
5	0.08663851994
6	0.002651753497
7	0.06314146183
8	0.0
9	0.003950794724
10	0.01684326618
11	0.0
12	0.006612576166
13	0.005911433012
14	0.01300640232
15	0.0001313214799
16	0.005683633346
17	0.06787341598
18	0.0
19	0.001683755114
20	0.0
21	0.01350460385
22	0.02645004709
23	0.0004679577775
24	0.06135908412
25	0.05563955601
26	0.002006659405
27	0.0
28	0.001916865343
29	0.005630410392
30	0.01112491695
31	0.0
32	0.0
33	0.0
34	0.0
35	0.1068936793
36	0.02013297954
37	0.0
38	0.03515245059
39	0.00944604363
40	0.03852375565
41	0.0
42	0.1540126491
43	0.04021280819
44	0.0
45	0.0008765164558
46	0.01504138007
47	0.0
48	0.01845824203
49	0.01781859042
50	0.005797619484
51	0.0
52	0.0
53	0.01177320178
54	0.03250436489
55	0.0
56	0.0
57	0.0
58	0.0300478255
59	0.006168739404
60	0.02867812135
61	0.02846050975
62	0.01847189213
63	0.0
64	0.0
65	0.06252805112
66	0.01165412367
67	0.0001163761012
68	0.003905020002
69	0.01565268367
70	0.1618959817
71	0.00421996451
72	0.01149868773
73	0.03457941949
74	0.001910570607
75	0.0
76	0.0181344474
77	0.02188505207
78	0.0
79	0.01241561632
80	0.0
81	0.004688834061
82	0.02425025719
83	0.02357190288
84	0.02601736832
85	0.004329522809
86	0.006727605934
87	0.1845187711
88	0.0
89	0.06779896293
90	0.1298691428
91	0.02271613784
92	0.0557601589
93	0.08860974471
94	0.0004225098663
95	0.020835048
96	0.003731982755
97	0.02981874834
98	0.05435836229
99	0.02414681311
100	0.01650525745
101	0.0
102	0.01741205387
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	0.0
111	0.0
112	0.0005145513842
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	0.01652728675
119	0.007734378814
120	0.0009878264241
121	0.02550114512
122	0.08727481805
123	0.02132250516
124	0.02297249378
125	0.00350549319
126	0.006796572774
127	0.0
128	0.02118840253
129	0.004275702329
130	0.0
131	0.04736111116
132	0.005694495027
133	0.0
134	0.0
135	0.01655043852
136	0.003257510156
137	0.0
138	0.0
139	0.006298516938
140	0.0
141	0.04121332448
142	0.0
143	0.03390311562
144	0.0
145	0.01708415327
146	0.006037387485
147	0.002335825018
148	0.01047548135
149	0.07069782226
150	0.0210029307
151	0.0
152	0.04336157225
153	0.0555306985
154	0.0
155	0.02683775074
156	0.06125592657
157	0.0
158	0.002464786498
159	0.01755301812
160	0.003246951023
161	0.0
162	0.0
163	0.0
164	0.0119008004
165	0.05589238545
166	0.0
167	0.002768270633
168	0.02363022075
169	0.005021060672
170	0.007295025389
171	0.0
172	0.0
173	0.0
174	0.0001166986481
175	0.07259794635
176	0.002553529389
177	0.03041460512
178	0.008526433146
179	0.002232371754
180	0.0
181	0.01723832613
182	0.01348039022
183	0.01818987759
184	0.007621049307
185	0.06524834855
186	0.007674598474
187	0.01588363772
188	0.06201168018
189	0.0102618829
190	0.0
191	0.08074597573
192	0.01103060394
193	0.03633761746
194	0.009753249163
195	0.04728252976
196	0.0
197	0.05662378382
198	0.03351109884
199	0.01399602244
200	0.001152528527
201	0.006070600285
202	0.0
203	0.0
204	0.0
205	0.03612337576
206	0.006161280333
207	0.003027864277
208	0.001473094335
209	0.007426168691
210	0.001676508303
211	0.0
212	0.0
213	0.0005185653665
214	0.0
215	0.0
216	0.005773177505
217	0.0
218	0.006575272669
219	0.003463095786
220	0.0
221	0.0
222	0.04191261456
223	0.0
224	0.04005069056
225	0.007908017155
226	0.03075817798
227	0.0
228	0.0
229	0.004417211129
230	0.04086366055
231	0.02738410583
232	0.0
233	0.003640788154
234	0.0
235	0.05960925643
236	0.05108137373
237	0.03588907323
238	0.002861452799
239	0.02914442292
240	0.006905932894
241	0.003060253215
242	0.0
243	0.0
244	0.0
245	0.0
246	0.05578976759
247	0.01323105348
248	0.0
249	0.0198776408
250	0.08020720356
251	0.04003430485
252	0.0
253	0.0
254	0.0
255	0.005660437239
256	0.01708877145
257	0.003524120538
258	0.0
259	0.0
260	0.01998590104
261	0.004423819589
262	0.0
263	0.0
264	0.0
265	0.005074385497
266	0.0
267	0.05271458075
268	0.003285620981
269	0.01735602181
270	0.06983076455
271	0.04714355427
272	0.0
273	0.007750366518
274	0.02642262155
275	0.008353327643
276	0.01446878184
277	0.006548903909
278	0.01528626174
279	0.02213774859
280	0.03795660212
281	0.08850493746
282	0.01261103374
283	0.01654673813
284	0.01821488018
285	0.05345533131
286	0.07433583493
287	0.0
288	0.04574925776
289	0.01420290294
290	0.02335913975
291	0.02459791715
292	0.002531859284
293	0.03535825212
294	0.003379894294
295	0.01479925051
296	0.0
297	0.004746006376
298	0.008230445567
299	0.0
300	0.003620494106
301	0.0
302	0.002387071956
303	0.0
304	0.0
305	0.0
306	0.0
307	0.0
308	0.002377532523
309	0.0
310	0.01336967939
311	0.0430617673
312	0.01247225262
313	0.0
314	0.0
315	0.02053004817
316	0.09620045209
317	0.0840119955
318	0.0
319	0.0
320	0.0
321	0.002131119927
322	0.0
323	0.02274512326
324	0.007244434634
325	0.0
326	0.03803507172
327	0.03453638927
328	0.05248085083
329	0.002176996391
330	0.0
331	0.0
332	0.01195944336
333	0.0
334	0.0
335	0.07769287681
336	0.0
337	0.0
338	0.01084971377
339	0.009399151133
340	0.02440360933
341	0.0
342	0.04987760611
343	0.0
344	0.0
345	0.0
346	0.0
347	0.01980166936
348	0.01568382067
349	0.0
350	0.0
351	0.002018624426
352	0.0
353	0.0
354	0.0
355	0.00736520169
356	0.0
357	0.009218458077
358	0.0
359	0.001012313047
360	0.0
361	0.0
362	0.0
363	0.009497327473
364	0.0
365	0.007774940623
366	0.06397818825
367	0.01262403694
368	0.04478684662
369	0.004467755623
370	0.01573640411
371	0.01832270799
372	0.0
373	0.0337404395
374	0.02575855559
375	0.005482000823
376	0.01357444277
377	0.04954702819
378	0.005811837441
379	0.1143128499
380	0.0161862392
381	0.0
382	0.0
383	0.008442744287
384	0.0
385	0.0
386	0.007061035409
387	0.09895089569
388	0.06372121171
389	0.01762000331
390	0.02111774478
391	0.001644462548
392	0.0
393	0.01964024094
394	0.001750352861
395	0.0
396	0.005177832561
397	0.0
398	0.007321506626
399	0.08483262409
400	0.06642483404
401	0.0
402	0.0
403	0.0
404	0.04508244054
405	0.03536038279
406	0.01498509509
407	0.0
408	0.0
409	0.0
410	0.01147157802
411	0.0
412	0.0
413	0.0
414	0.0
415	0.0
416	0.0
417	0.0
418	0.0
419	0.0
420	0.0
421	0.008303877116
422	0.02394916666
423	0.02018921496
424	0.04642028139
425	0.0311565363
426	0.001653506076
427	0.0
428	0.02837246431
429	0.008459273229
430	0.0
431	0.02560181775
432	0.0
433	0.01252048851
434	0.03905895931
435	0.0
436	0.0
437	0.05663578041
438	0.0698850043
439	0.02452746367
440	0.002110052261
441	0.04754326186
442	0.0
443	0.0482246594
444	0.0009062576341
445	0.007739549321
446	0.01170768915
447	0.00629204227
448	0.0133246781
449	0.04267951684
450	0.0
451	0.006464634581
452	0.03073398954
453	0.0
454	0.0
455	0.0
456	0.02444908091
457	0.0
458	0.0
459	0.0
460	0.0
461	0.0147846497
462	0.0
463	0.0
464	0.0
465	0.0
466	0.002889107459
467	0.02904275397
468	0.02686901828
469	0.02876141076
470	0.0
471	0.002426885631
472	0.01514006931
473	0.03552997489
474	0.0
475	0.0
476	0.0
477	0.003303434781
478	0.0
479	0.005506856668
480	0.0
481	0.02228569438
482	0.01086112019
483	0.01625761062
484	0.0172863293
485	0.03770858937
486	0.0
487	0.001979482436
